Date,Time,Open,High,Low,Close,Up,Down
7/6/2020,15:05,1328.57,1331.5,1324.16,1328.26,57906,51073
7/6/2020,15:10,1328.36,1331,1327.33,1329.46,30087,32024
7/6/2020,15:15,1329.57,1337.51,1328.66,1337.35,91393,68500
7/6/2020,15:20,1337.35,1345,1335.44,1343.59,117155,96610
7/6/2020,15:25,1343.27,1347.79,1339.66,1345.38,83895,87200
7/6/2020,15:30,1345.4,1345.45,1338.9,1342.57,57111,59605
7/6/2020,15:35,1342.64,1344.48,1340.48,1343.23,46178,44051
7/6/2020,15:40,1343.22,1350,1343.05,1349.73,102433,84478
7/6/2020,15:45,1349.49,1359,1349.19,1355.26,144661,132048
7/6/2020,15:50,1355.27,1365.63,1354.75,1365.5,120741,101412
7/6/2020,15:55,1365.5,1373.55,1365.28,1373.07,142011,140304
7/6/2020,16:00,1372.77,1377.79,1369.91,1371,180291,165891
7/7/2020,09:35,1405.01,1429.5,1388,1429.15,443155,266469
7/7/2020,09:40,1428.36,1429.42,1370,1381.06,251641,310487
7/7/2020,09:45,1380.85,1410.04,1378,1403.44,194378,196845
7/7/2020,09:50,1404.17,1410,1394.01,1399.23,117956,138149
7/7/2020,09:55,1399.14,1399.14,1379,1381.42,105399,131912
7/7/2020,10:00,1381.38,1392.55,1363.03,1363.03,123488,135864
7/7/2020,10:05,1364.75,1382.33,1355.1,1356.22,140758,150323
7/7/2020,10:10,1356.37,1360,1336.71,1344.89,204912,237291
7/7/2020,10:15,1345.16,1370.79,1338.95,1368.02,161389,146122
7/7/2020,10:20,1368.48,1383.97,1361.16,1377.99,123902,135674
7/7/2020,10:25,1378.59,1383.99,1371.37,1383.74,82724,69873
7/7/2020,10:30,1381.88,1383.47,1367,1371.8,61822,71300
7/7/2020,10:35,1371.3,1382.04,1367.07,1371.61,52377,59186
7/7/2020,10:40,1370.82,1375.16,1363.16,1363.16,57479,55977
7/7/2020,10:45,1363.16,1371,1360.34,1368.73,48954,50898
7/7/2020,10:50,1367.8,1383.11,1363.72,1380,85413,70711
7/7/2020,10:55,1380.14,1395.32,1379.81,1393.2,138096,95775
7/7/2020,11:00,1392.57,1394.42,1385,1388.58,56745,72083
7/7/2020,11:05,1388.16,1392.38,1382.68,1391.73,55813,66697
7/7/2020,11:10,1391,1398,1390.67,1396.6,76176,73504
7/7/2020,11:15,1397.3,1405,1397.25,1402.1,96492,75790
7/7/2020,11:20,1401.87,1409.62,1399.3,1406.42,70834,65659
7/7/2020,11:25,1406.42,1412.88,1403.5,1410.32,96241,71803
7/7/2020,11:30,1409.59,1419.8,1408.12,1418.15,116688,103784
7/7/2020,11:35,1417.41,1423,1405.15,1405.15,131459,150070
7/7/2020,11:40,1405.66,1411.3,1396.78,1398.44,99975,107188
7/7/2020,11:45,1397.59,1409.28,1397.24,1407.78,87335,69953
7/7/2020,11:50,1407.77,1408.26,1401.17,1404.73,32016,38933
7/7/2020,11:55,1404.32,1406,1398.59,1399.77,27427,39448
7/7/2020,12:00,1399.73,1402.66,1395,1399.27,35473,37323
7/7/2020,12:05,1399.65,1407.66,1399.07,1400.01,47659,43709
7/7/2020,12:10,1401.72,1404.59,1399.24,1401.44,25128,26217
7/7/2020,12:15,1401,1403.4,1397.51,1398.71,23869,33326
7/7/2020,12:20,1398.72,1399.48,1391.2,1399,28566,39142
7/7/2020,12:25,1399,1399,1384.65,1385,39310,53307
7/7/2020,12:30,1384.36,1392.61,1384.36,1390.62,48924,48839
7/7/2020,12:35,1390,1396.64,1388.56,1395,28853,41795
7/7/2020,12:40,1394.71,1399.6,1394,1398.12,36218,27899
7/7/2020,12:45,1398.03,1399.5,1389,1390.03,33474,33575
7/7/2020,12:50,1389.03,1395.75,1387,1394.61,30518,31446
7/7/2020,12:55,1394.5,1395.6,1391.04,1393.75,24691,25337
7/7/2020,13:00,1393.36,1406,1393.36,1405.84,75256,52909
7/7/2020,13:05,1405.52,1409,1403.5,1407,57273,47056
7/7/2020,13:10,1407.07,1410,1397.35,1398.35,52979,75884
7/7/2020,13:15,1398.56,1400.98,1394.1,1399.39,31416,29360
7/7/2020,13:20,1400.69,1403.42,1399.36,1401.1,37830,38489
7/7/2020,13:25,1400.81,1402,1398,1399.56,16078,19059
7/7/2020,13:30,1399.55,1400.48,1395.5,1397.35,32692,30169
7/7/2020,13:35,1396.62,1400.1,1393.03,1399.06,39904,34662
7/7/2020,13:40,1398.54,1398.79,1394.39,1395,21890,25241
7/7/2020,13:45,1394.68,1404.9,1393.71,1404.9,46146,36157
7/7/2020,13:50,1404.89,1405.7,1400.34,1401.43,33565,33375
7/7/2020,13:55,1402,1404.09,1397.09,1397.84,30831,37326
7/7/2020,14:00,1398.93,1401.83,1398,1400.66,24807,24903
7/7/2020,14:05,1400.32,1400.54,1395.1,1396.55,22189,31360
7/7/2020,14:10,1397.51,1403,1394.7,1400.01,35653,29485
7/7/2020,14:15,1399.68,1404,1399.68,1402.58,27369,18110
7/7/2020,14:20,1402,1402.6,1397,1397.18,22411,26966
7/7/2020,14:25,1397.19,1398.94,1395,1397.2,21071,29534
7/7/2020,14:30,1397.34,1399,1394.6,1396.56,20605,29622
7/7/2020,14:35,1396.21,1396.56,1386.21,1391.69,42810,61500
7/7/2020,14:40,1392.02,1392.12,1376.66,1379.34,67767,73126
7/7/2020,14:45,1378.8,1393,1377.92,1391.23,58197,48064
7/7/2020,14:50,1392,1392,1384.1,1385.16,31600,41218
7/7/2020,14:55,1385.01,1385.12,1371,1371.42,46210,64167
7/7/2020,15:00,1371.63,1385,1370.77,1383,66354,49273
7/7/2020,15:05,1382.51,1383.79,1373.79,1375.06,36463,34967
7/7/2020,15:10,1376.15,1383,1375.27,1376.57,38504,41828
7/7/2020,15:15,1375.89,1380.52,1366,1368.29,45189,64732
7/7/2020,15:20,1367.82,1378,1366.14,1376,47918,46089
7/7/2020,15:25,1376,1384.99,1374.03,1383.16,61944,53439
7/7/2020,15:30,1382.86,1383.68,1377,1379.83,26547,31001
7/7/2020,15:35,1380.89,1394,1379,1391.01,69379,63599
7/7/2020,15:40,1391.12,1398.14,1389.2,1395.94,70798,58820
7/7/2020,15:45,1396.34,1404.84,1392.28,1397.99,84899,86485
7/7/2020,15:50,1398,1398.26,1391.9,1395,36407,46567
7/7/2020,15:55,1396,1396.5,1387.2,1388.49,50215,57912
7/7/2020,16:00,1388.38,1394,1387.11,1389.69,87725,72587
7/8/2020,09:35,1405,1417.26,1402.1,1411.86,253368,166176
7/8/2020,09:40,1411.85,1415,1398.22,1406.46,100009,131793
